City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,caratinga,-19.7897,-42.1392,26.850000000000023,71,82,2.78,BR,1706980789
76,hradyz'k,49.2346,33.1361,2.57000000000005,96,100,7.97,UA,1706980789
77,albany,42.6001,-73.9662,1.6800000000000068,66,56,2.68,US,1706980521
78,ayr,55.4627,-4.6339,8.060000000000002,87,75,7.2,GB,1706980789
79,dzhetygara,52.1908,61.2006,-3.919999999999959,92,100,6.51,KZ,1706980790
80,port lincoln,-34.7333,135.8667,19.150000000000034,68,0,1.46,AU,1706980790
81,agat village,13.3886,144.6585,25.53000000000003,90,75,8.75,GU,1706980790
82,saipan,15.1355,145.701,26.390000000000043,73,0,9.77,MP,1706980711
83,mirnyy,62.5353,113.9611,-27.649999999999977,68,90,0.89,RU,1706980790
84,margaret river,-33.95,115.0667,16.860000000000014,58,48,6.82,AU,1706980726
85,bukama,-9.2,25.85,23.30000000000001,91,75,0.4,CD,1706980790
86,uvira,-3.4067,29.1458,24.24000000000001,82,72,2.41,CD,1706980791
87,weno,7.4515,151.8468,24.970000000000027,100,100,4.12,FM,1706980791
88,tazacorte,28.629,-17.9293,22.30000000000001,67,20,1.54,ES,1706980791
89,island harbour,50.724,-1.2758,12.860000000000014,90,98,2.24,GB,1706980791
90,den burg,53.0542,4.7972,9.980000000000018,93,100,5.14,NL,1706980791
91,rostovka,55.3842,71.8891,-14.060000000000002,98,96,3.32,RU,1706980791
92,khash,28.2211,61.2158,10.240000000000009,35,25,2.17,IR,1706980792
93,lufkin,31.3382,-94.7291,14.04000000000002,97,100,3.6,US,1706980681
94,iskateley,67.6803,53.1512,-12.769999999999982,86,24,6.26,RU,1706980792
95,puerto ayora,-0.7393,-90.3518,30.980000000000018,79,56,4.89,EC,1706980792
96,new plymouth,-39.0667,174.0833,11.560000000000002,70,53,3.16,NZ,1706980685
97,olonkinbyen,70.9221,-8.7187,-5.479999999999961,67,100,8.31,SJ,1706980792
98,nyurba,63.2842,118.3319,-21.70999999999998,90,100,3.1,RU,1706980793
99,punta arenas,-53.15,-70.9167,12.060000000000002,58,75,8.75,CL,1706980793
100,octeville,49.6261,-1.6435,10.270000000000039,93,100,8.23,FR,1706980793
101,yellowknife,62.456,-114.3525,-16.989999999999952,97,100,7.2,CA,1706980720
102,paradip garh,20.3167,86.6167,22.629999999999995,88,37,2.7,IN,1706980793
103,chibougamau,49.9168,-74.3659,-7.2099999999999795,79,100,4.12,CA,1706980641
104,utrik,11.2278,169.8474,26.310000000000002,77,25,9.71,MH,1706980794
105,uturoa,-16.7333,-151.4333,27.660000000000025,75,96,5.12,PF,1706980794
